TIME,CURRENCY BUY,CASH BUY,CURRENCY SELL,CASH SELL,BC PRICE,,
1,5.2092,5.0485,5.2458,5.2458,5.1669,,
2,5.3349,5.1702,5.3723,5.3723,5.2304,,
3,5.3515,5.1864,5.3891,5.3891,5.3919,,
4,5.3087,5.1448,5.3459,5.3459,5.3557,,
5,5.3025,5.1389,5.3397,5.3397,5.3557,,
6,5.2699,5.1073,5.3069,5.3069,5.2994,,
7,5.2517,5.0896,5.2885,5.2885,5.2994,,
8,5.2517,5.0896,5.2885,5.2885,5.2994,,
9,5.2401,5.0784,5.2769,5.2769,5.2718,,
10,5.2457,5.0838,5.2825,5.2825,5.2718,,
11,5.2804,5.1174,5.3174,5.3174,5.2667,,
12,5.2639,5.1013,5.3169,5.3169,5.3021,,
13,5.2548,5.0924,5.3076,5.3076,5.3021,,
14,5.2617,5.0994,5.2987,5.2987,5.2964,,
15,5.2496,5.0876,5.2864,5.2864,5.3001,,
16,5.268,5.1054,5.305,5.305,5.2753,,
17,5.268,5.1054,5.305,5.305,5.2753,,
18,5.268,5.1054,5.305,5.305,5.2753,,
19,5.2938,5.1305,5.331,5.331,5.2898,,
20,5.2695,5.1069,5.3065,5.3065,5.2947,,
21,5.2414,5.0794,5.294,5.294,5.2803,,
22,5.2362,5.0744,5.2888,5.2888,5.2803,,
23,5.2396,5.0776,5.2922,5.2922,5.2803,,
24,5.3065,5.1427,5.3437,5.3437,5.3028,,
25,5.2843,5.1213,5.3215,5.3215,5.3028,,
26,5.2758,5.113,5.3128,5.3128,5.3155,,
27,5.2481,5.0859,5.3009,5.3009,5.3074,,
28,5.2604,5.0978,5.3132,5.3132,5.3074,,
29,5.2604,5.0978,5.3132,5.3132,5.3074,,
30,5.2596,5.097,5.3124,5.3124,5.3043,,
31,5.3149,5.1506,5.3683,5.3683,5.3043,,
32,5.3149,5.1506,5.3683,5.3683,5.3043,,
33,5.2601,5.0975,5.3129,5.3129,5.3043,,
34,5.2614,5.0988,5.3142,5.3142,5.3043,,
35,5.2556,5.0932,5.3084,5.3084,5.3043,,
36,5.2657,5.103,5.3187,5.3187,5.3043,,
37,5.2757,5.1129,5.3127,5.3127,5.2945,,
38,5.2594,5.0971,5.2964,5.2964,5.2935,,
39,5.2446,5.0827,5.2814,5.2814,5.2766,,
40,5.2762,5.1134,5.3132,5.3132,5.2709,,
41,5.2933,5.13,5.3305,5.3305,5.2978,,
42,5.3397,5.175,5.3773,5.3773,5.3316,,
43,5.3128,5.1489,5.3502,5.3502,5.3389,,
44,5.3133,5.1494,5.3507,5.3507,5.3389,,
45,5.3133,5.1494,5.3507,5.3507,5.3389,,
46,5.3063,5.1425,5.3435,5.3435,5.3203,,
47,5.2386,5.0767,5.2912,5.2912,5.2764,,
48,5.2187,5.0574,5.2711,5.2711,5.2764,,
49,5.2578,5.0953,5.3106,5.3106,5.2754,,
50,5.2269,5.0656,5.2637,5.2637,5.2493,,
51,5.2175,5.0565,5.2541,5.2541,5.2493,,
52,5.2175,5.0565,5.2541,5.2541,5.2493,,
53,5.24,5.0783,5.2768,5.2768,5.2415,,
54,5.2363,5.0747,5.2731,5.2731,5.2473,,
55,5.209,5.0483,5.2456,5.2456,5.2348,,
56,5.1853,5.0253,5.2217,5.2217,5.2208,,
57,5.1922,5.0319,5.2286,5.2286,5.2153,,
58,5.1356,4.9771,5.1716,5.1716,5.1729,,
59,5.1317,4.9733,5.1677,5.1677,5.1729,,
60,5.1446,4.9859,5.1808,5.1808,5.1636,,
61,5.1541,4.9951,5.1903,5.1903,5.1688,,
62,5.1604,5.0011,5.1966,5.1966,5.1804,,
63,5.172,5.0124,5.2084,5.2084,5.1945,,
64,5.18,5.0202,5.2164,5.2164,5.1945,,
